2026-06-10 14:57:59,945 | INFO     | __main__ | Pipeline started
2026-06-10 14:57:59,946 | INFO     | __main__ | Pipeline finished successfully
2026-06-10 15:02:46,396 | INFO     | __main__ | Pipeline started
2026-06-10 15:02:46,397 | INFO     | etl.extract.base_scraper | Fetching source=remotive attempt=1/3 url=https://remotive.com/api/remote-jobs?search=data+analyst
2026-06-10 15:02:48,354 | INFO     | etl.extract.base_scraper | Parsed source=remotive page=1/1 jobs=27
2026-06-10 15:02:48,357 | INFO     | __main__ | Jobs extracted: 27
2026-06-10 15:02:48,361 | INFO     | __main__ | Pipeline finished successfully
2026-06-10 15:09:20,461 | INFO     | __main__ | Pipeline started
2026-06-10 15:09:20,461 | INFO     | etl.extract.base_scraper | Fetching source=remotive attempt=1/3 url=https://remotive.com/api/remote-jobs?search=data+analyst
2026-06-10 15:09:22,591 | INFO     | etl.extract.base_scraper | Parsed source=remotive page=1/1 jobs=27
2026-06-10 15:09:22,595 | INFO     | __main__ | Jobs extracted: 27
2026-06-10 15:09:22,689 | INFO     | __main__ | Pipeline finished successfully
2026-06-10 15:09:31,643 | INFO     | __main__ | Pipeline started
2026-06-10 15:09:31,644 | INFO     | etl.extract.base_scraper | Fetching source=remotive attempt=1/3 url=https://remotive.com/api/remote-jobs?search=data+analyst
2026-06-10 15:09:33,517 | INFO     | etl.extract.base_scraper | Parsed source=remotive page=1/1 jobs=27
2026-06-10 15:09:33,519 | INFO     | __main__ | Jobs extracted: 27
2026-06-10 15:09:33,610 | INFO     | __main__ | Pipeline finished successfully
2026-06-10 15:12:49,591 | INFO     | __main__ | Pipeline started
2026-06-10 15:12:49,592 | INFO     | etl.extract.base_scraper | Fetching source=remotive attempt=1/3 url=https://remotive.com/api/remote-jobs?search=data+analyst
2026-06-10 15:12:51,513 | INFO     | etl.extract.base_scraper | Parsed source=remotive page=1/1 jobs=27
2026-06-10 15:12:51,619 | INFO     | __main__ | Raw jobs extracted: 27
2026-06-10 15:12:51,619 | INFO     | __main__ | Cleaned jobs generated: 27
2026-06-10 15:12:51,622 | INFO     | __main__ | Pipeline finished successfully
2026-06-10 15:38:10,913 | INFO     | __main__ | Pipeline started
2026-06-10 15:38:10,914 | INFO     | etl.extract.base_scraper | Fetching source=remotive attempt=1/3 url=https://remotive.com/api/remote-jobs?search=data+analyst
2026-06-10 15:38:12,885 | INFO     | etl.extract.base_scraper | Parsed source=remotive page=1/1 jobs=27
2026-06-10 15:38:12,989 | INFO     | __main__ | Raw jobs extracted: 27
2026-06-10 15:38:12,990 | INFO     | __main__ | Cleaned jobs generated: 27
2026-06-10 15:38:12,990 | INFO     | __main__ | Validated jobs: active=27 incomplete=0
2026-06-10 15:38:12,992 | INFO     | __main__ | Pipeline finished successfully
2026-06-10 15:41:14,642 | INFO     | __main__ | Pipeline started
2026-06-10 15:41:14,661 | INFO     | __main__ | Database initialised successfully
2026-06-10 15:41:14,662 | INFO     | etl.extract.base_scraper | Fetching source=remotive attempt=1/3 url=https://remotive.com/api/remote-jobs?search=data+analyst
2026-06-10 15:41:16,586 | INFO     | etl.extract.base_scraper | Parsed source=remotive page=1/1 jobs=27
2026-06-10 15:41:16,693 | INFO     | __main__ | Raw jobs extracted: 27
2026-06-10 15:41:16,694 | INFO     | __main__ | Cleaned jobs generated: 27
2026-06-10 15:41:16,694 | INFO     | __main__ | Validated jobs: active=27 incomplete=0
2026-06-10 15:41:16,697 | INFO     | __main__ | Pipeline finished successfully
2026-06-10 15:46:35,144 | INFO     | __main__ | Pipeline started
2026-06-10 15:46:35,153 | INFO     | __main__ | Database initialised successfully
2026-06-10 15:46:35,154 | INFO     | etl.extract.base_scraper | Fetching source=remotive attempt=1/3 url=https://remotive.com/api/remote-jobs?search=data+analyst
2026-06-10 15:46:37,132 | INFO     | etl.extract.base_scraper | Parsed source=remotive page=1/1 jobs=27
2026-06-10 15:46:37,233 | INFO     | __main__ | Raw jobs extracted: 27
2026-06-10 15:46:37,233 | INFO     | __main__ | Cleaned jobs generated: 27
2026-06-10 15:46:37,234 | INFO     | __main__ | Validated jobs: active=27 incomplete=0
2026-06-10 15:46:37,234 | INFO     | __main__ | Load stats: loaded=27 skipped=0 failed=0 duration=2.09s
2026-06-10 15:46:37,237 | INFO     | __main__ | Pipeline finished successfully
2026-06-10 15:46:52,397 | INFO     | __main__ | Pipeline started
2026-06-10 15:46:52,400 | INFO     | __main__ | Database initialised successfully
2026-06-10 15:46:52,401 | INFO     | etl.extract.base_scraper | Fetching source=remotive attempt=1/3 url=https://remotive.com/api/remote-jobs?search=data+analyst
2026-06-10 15:46:54,357 | INFO     | etl.extract.base_scraper | Parsed source=remotive page=1/1 jobs=27
2026-06-10 15:46:54,463 | INFO     | __main__ | Raw jobs extracted: 27
2026-06-10 15:46:54,463 | INFO     | __main__ | Cleaned jobs generated: 27
2026-06-10 15:46:54,463 | INFO     | __main__ | Validated jobs: active=27 incomplete=0
2026-06-10 15:46:54,463 | INFO     | __main__ | Load stats: loaded=0 skipped=27 failed=0 duration=2.06s
2026-06-10 15:46:54,466 | INFO     | __main__ | Pipeline finished successfully
